中文名,外文名,软科排名,独立学院,民办高校
广东云浮中医药职业学院,Guangdong Yunfu Vocational College Of Traditional Chinese Medicine,,否,否
广东肇庆航空职业学院,Guangdong Zhaoqing Aviation Vocational College,,否,是
广东职业技术学院,Guangdong Polytechnic,,否,否
广西安全工程职业技术学院,Guangxi Vocational College Of Safety Engineering,,否,否
广西城市职业大学,Guangxi City Vocational University,,否,是
广西电力职业技术学院,Guangxi Electrical Polytechnic Institute,,否,否
广西工程职业学院,Guangxi Engineering Vocational College,,否,是
广西工商职业技术学院,Guangxi Vocational College Of Technology And Business,,否,否
广西工业职业技术学院,Guangxi Vocational&Technical Institute Of Industry,,否,否
广西国际商务职业技术学院,Guangxi International Business Vocational College,,否,否
广西机电职业技术学院,Guangxi Technological College Of Machinery And Electricity,,否,否
广西建设职业技术学院,Guangxi Polytechnic Of Construction,,否,否
