code,parent_code,name,code_path,name_path
620400,620000,白银,area/CHN/620000/620400,中国-甘肃-白银
620500,620000,天水,area/CHN/620000/620500,中国-甘肃-天水
620600,620000,武威,area/CHN/620000/620600,中国-甘肃-武威
620700,620000,张掖,area/CHN/620000/620700,中国-甘肃-张掖
620800,620000,平凉,area/CHN/620000/620800,中国-甘肃-平凉
620900,620000,酒泉,area/CHN/620000/620900,中国-甘肃-酒泉
621000,620000,庆阳,area/CHN/620000/621000,中国-甘肃-庆阳
621100,620000,定西,area/CHN/620000/621100,中国-甘肃-定西
621200,620000,陇南,area/CHN/620000/621200,中国-甘肃-陇南
622900,620000,临夏,area/CHN/620000/622900,中国-甘肃-临夏
623000,620000,甘南,area/CHN/620000/623000,中国-甘肃-甘南
6202000,620200,嘉峪关市,area/CHN/620000/620200/6202000,中国-甘肃-嘉峪关-嘉峪关市
6203002,620300,金川区,area/CHN/620000/620300/6203002,中国-甘肃-金昌-金川区
62030021,620300,永昌县,area/CHN/620000/620300/62030021,中国-甘肃-金昌-永昌县
6204002,620400,白银区,area/CHN/620000/620400/6204002,中国-甘肃-白银-白银区
6204003,620400,平川区,area/CHN/620000/620400/6204003,中国-甘肃-白银-平川区
62040021,620400,靖远县,area/CHN/620000/620400/62040021,中国-甘肃-白银-靖远县
62040022,620400,会宁县,area/CHN/620000/620400/62040022,中国-甘肃-白银-会宁县
62040023,620400,景泰县,area/CHN/620000/620400/62040023,中国-甘肃-白银-景泰县
6205002,620500,秦州区,area/CHN/620000/620500/6205002,中国-甘肃-天水-秦州区
6205003,620500,麦积区,area/CHN/620000/620500/6205003,中国-甘肃-天水-麦积区
62050021,620500,清水县,area/CHN/620000/620500/62050021,中国-甘肃-天水-清水县
62050022,620500,秦安县,area/CHN/620000/620500/62050022,中国-甘肃-天水-秦安县
62050023,620500,甘谷县,area/CHN/620000/620500/62050023,中国-甘肃-天水-甘谷县
62050024,620500,武山县,area/CHN/620000/620500/62050024,中国-甘肃-天水-武山县
62050025,620500,张家川回族自治县,area/CHN/620000/620500/62050025,中国-甘肃-天水-张家川回族自治县
6206002,620600,凉州区,area/CHN/620000/620600/6206002,中国-甘肃-武威-凉州区
62060021,620600,民勤县,area/CHN/620000/620600/62060021,中国-甘肃-武威-民勤县
62060022,620600,古浪县,area/CHN/620000/620600/62060022,中国-甘肃-武威-古浪县
62060023,620600,天祝藏族自治县,area/CHN/620000/620600/62060023,中国-甘肃-武威-天祝藏族自治县
